Temp,한국어,영어,영어 검수
15463,미국 또한 한국과 마찬가지로 흑인에 대한 인종 차별이 심해요.,"In America, just like in Korea, there is a severe racial discrimination against the black.","In America, just like in Korea, there is a severe racial discrimination against the black."
15464,가장 중요한 일은 공장이 잘 돌아갈 수 있도록 하는 것입니다.,The most important thing is to run factories without any problem.,The most important thing is to make sure that the factory is running smoothly.
15468,나는 스물 한 살에 친구와 성경에 관해 공부했었습니다.,"When I was 21, I had a bible study with my friend.",I studied the Bible with my friend when I was twenty-one.
15482,아래 다시 한번 제가 주문한 리스트를 첨부합니다.,Please refer again to the list of your order that I attached.,"Once again, I attached the list of my orders below."
15483,10시에 한국에서 보낸 메일에 대해 회신해주시면 감사하겠습니다.,Please reply to the mail that I sent from Korea at 10.,I would appreciate it if you could respond to the email sent from Korea at 10 o' clock.
15484,원본 서류 한 개와 사본 서류 두 개를 보내 주시기 바랍니다.,Please send us the original document and two copies.,Please send me one original document and two copies.
15496,그들 중에 한 마리가 나를 보고 가까이 다가왔어요.,One of them saw me and came closer to me.,One of them saw me and came closer to me.
15497,제발 다시 한번 메일 및 첨부 파일을 확인하시길 바랍니다.,Please check the mail and the attached file one more time.,Please check your mail and the attached file one more time.
15517,너는 한국보다 미국에 더 친한 친구가 많은 것 같아.,"If I go to America, I think there will be a lot of close friends than in Korea.",I think you have more close friends in the United States than in Korea.
15532,언니 중의 한 명은 미국인과 결혼해서 시애틀에 살고 있어요.,One of my sisters got married to an American and is living in Seattle.,One of my sisters is married to an American and lives in Seattle.
15541,나는 피자 한 판과 도시락 일곱 개를 주문할게요.,I'd like to order a pizza and seven lunch boxes.,I'd like to order a pizza and seven lunch boxes.
15542,나는 덜 익힌 고기를 먹는 것을 좋아하지 않아요.,I do not like to eat undercooked meat.,I don't like eating undercooked meat.
15543,오늘 나는 한국으로 귀국하는 동료와 저녁을 먹어야 해.,"Today, I have to have a dinner with my colleague who is going back to Korea.","Today, I have to have dinner with my colleague who is going back to Korea."
15544,오늘 저는 한국과 이탈리아의 차이점을 말하려고 합니다.,"Today, I am going to talk about the difference between Korea and Italy.","Today, I am going to talk about the differences between Korea and Italy."
15546,당신들은 한국에서 어떻게 영업을 하고 있는지 저는 알고 싶어요.,I'd like to know how you manage your business in Korea.,I'd like to know how you are managing your business in Korea.
15547,또한 작년 한 해 당신의 도움과 관심에 감사드립니다.,"And also, we appreciate your help and interest.","Also, thank you for your support and interest last year. "
15554,당신들은 한국에서 할부로 휴대폰을 샀던 적이 있습니까?,Have you ever used installment purchase to buy your cellphone in Korea?,Have you ever bought a cell phone on an installment plan in Korea?
15555,저는 다시 한번 시험을 보기로 결정하게 되었습니다.,I have decided to take the test again.,I have decided to take the test again.
15563,어떤 것이 한국인 스타일인지 이해하지 못 했어요?,Didn't you understand what Korean Style is?,Didn't you figure out what Korean style is?
15565,나는 결제한 적이 없고 결제 내역도 확인할 수가 없어요.,"I didn't pay, and I can't confirm a payment list.",I have never paid and I can't check the payment details.
15578,나는 너가 한국에서 슬프게 지내는 것을 원하지 않아.,I don't want you to be sad while in Korea.,I don't want you to be sad while staying in Korea.
15582,나는 중요한 행사 때문에 학원에 올 수 없었어요.,I couldn't come to academy because of an important event.,I couldn't come to the academy because of an important event.
15588,가끔 부조리한 일을 당하는 것을 알면서도 제 생각을 제대로 표현하지 못합니다.,I cannot express my opinion well even though I am treated badly occasionally.,Sometimes I can't express my thoughts properly even when I know I'm being treated poorly.
15592,"나는 영어, 한국어, 그리고 일어를 조금 할 수 있어요.","I can speak English, Korean, and a little of Japanese.","I can speak English, Korean, and a little Japanese."
15600,나는 매일 한국 음식을 만들어 가족들과 먹습니다.,I cook and eat Korean food with my family every day.,I cook Korean food and have it with my family every day.
15608,당신 혼자 한국 입국이 어렵다고 해서 제인한테 부탁했어요.,"Because you said it was hard to go to korea by yourself, so I asked Jane to help you.",I asked Jane to help you as you said it is difficult for you to enter Korea by yourself.
15617,요즘 삶에 대한 진지한 생각을 할 필요가 있음을 많이 느껴요.,I believe that I need to think about my life seriously these days.,I feel like I need to have some serious thoughts about my life these days.
15627,나도 그중 한 사람인데 약을 먹었더니 좀 나아졌어요.,"I was one of them, and the medicine made me feel better.","I was one of them, but I got better after taking some pills."
15629,나는 항상 한국어를 영어로 통역해서 컴퓨터에 입력합니다.,I always input translated English from Korean to a computer.,I always translate Korea into English and enter it into the computer.
15634,나는 오늘 한국으로 출발하여 수요일에 도착합니다.,I am heading to Korea today and will be arriving on Wednesday.,I am leaving for Korea today and will be arriving on Wednesday.
15635,요즘 한국에 있는 언니가 아파서 제가 너무 정신이 없어요.,I am out of my mind because my sister in Korea is sick.,I've been so flustered these days because my sister in Korea is sick.
15636,인포 사의 한국 파트너인 미라클 시스템의 길동입니다.,"I am Gildong from Miracle system, a Korean partner of Info company.","I am Gildong from Miracle System, a Korean partner of Info company."
15644,네가 처음 한국에 방문했을 때 받은 문화 충격은 뭐니?,What gave you culture shock when you came to Korea first?,What kind of culture shock did you experience when you first came to Korea?
15652,나는 내가 저지른 일에 대해 기꺼이 용서를 구합니다.,I willingly apologize for my fault that I have done.,I willingly ask for forgiveness for what I have done.
15653,저는 현재 한국에 거주하고 있는 한국인 디자이너입니다.,"I am currently living in Korea, and I am a Korean designer.",I am a Korean designer currently living in Korea.
15654,나는 다시 한번 더 당신을 귀찮게 한 점에 대해 사과드립니다.,I apologize for bothering you once again.,I apologize for bothering you once again.
15655,"내가 실수 한 건 나도 인정해, 그래서 너의 심정을 알고 싶어.","I admit that I made a mistake, and that's why it's important how you feel about it.","I admit I made a mistake, and that's why I need to know how you feel."
15658,나는 지금 한국에 있고 내 친구도 한국에 있어요.,"I am in Korea, and my friend is also in Korea.","I am in Korea, and my friend is in Korea as well."
15659,나는 지금 당신을 위해 한국어 시험에 대한 정보를 알아보고 있어요.,I am looking for a Korean exam for you now.,I am looking for some information about the Korean language test for you now.
15660,"네가 만약 한국어 이름을 짓는다면, 무엇으로 짓고 싶어?",What kinds of Korean names would you like if you need to choose a name to give?,What kind of Korean name would you like if you could have one?
15665,나는 내일 한국에 가서 한 달 후에 돌아올 거에요.,I am going to Korea tomorrow and will be back after a month.,I am going to Korea tomorrow and will be back in a month.
15681,내가 다시 한번 너에게 메일을 보내니 확인하고 답장 부탁해요.,"I am writing this letter one more, so please check and write it back for me.","I am writing this letter to you once again, so please check and send me a response."
15684,다시 한번 나의 선생님이 되어주어서 고마워요.,Thank you for being my teacher agian.,Thank you for being my teacher again.
15685,만약 제가 한 학기 쉬고 싶다면 어떻게 해야 하나요?,What should I do if I want to take a leave of absence for a semester?,What should I do if I want to take a semester off?
15695,만약 네가 한국에 온다면 무엇을 제일 하고 싶니?,What do you want to do the most when you come to Korea?,What do you want to do the most when you come to Korea?
15696,그는 나와 함께 한국에서 살기 싫어서 연락 두절이야.,He hasn't contacted me because he does not want to live with me in Korea.,He has been out of contact because he doesn't want to live in Korea with me.
15699,만약 내가 한국에서 배송받은 후에도 마음에 들지 않는다면 환불받을 수 있나요?,"If I don't like it after I get it delivered in Korea,",Can I get a refund if I don't like it after receiving it in Korea?
15734,저희 조는 한국 음식에 관하여 학생들을 인터뷰했습니다.,We interviewed about Korean food.,Our team interviewed the students about Korean food.
15735,우리들 또한 당신들과 함께한다면 영광일 것입니다.,It would be an honor if we could be with you.,We would also be honored to be with you.
15736,내가 지금 한자를 공부해야 한다면 정말 힘들 것 같아.,It will be really hard if I have to study Chinese characters now.,It will be really hard if I have to study Chinese characters now.
15737,나의 꿈은 한국의 아름다운 승무원이고 난 항상 너를 응원합니다.,"My dream is to be a flight attendant in Korea, and I always support you.","My dream is to be a beautiful flight attendant in Korea, and I always support you."
15763,당신이 결근하고자 하면 매니저에게 미리 말해야 해요.,"If you cannot come to work, you should let your manager know in advance.","If you want to have a day off, you have to give a notice to your manager in advance."
15764,혹시 네가 한국말을 이해를 못하겠다면 나에게 말해 줘.,"If you can't understand Korean, tell me.","If you can't understand Korean, please tell me."
15765,나와 함께 한국에서 살고 싶으면 당신은 한국 언어를 배우세요.,"If you want to live with me in Korea, you have to learn Korean.","If you want to live with me in Korea, you have to learn Korean."
15766,당신들이 한국 쪽 영업을 어떻게 하고 있는지 알고 싶어요.,We want to know how you're doing business in Korea.,We would like to know how's the business going in Korea.
15774,누가 봐도 상대방의 잘못이라는 것을 알 수 있었어요.,It was obvious for anyone that it was the opponent's fault.,Everyone could see that it was the opponent's fault.
15775,만약 내가 한국에 돌아간다면 그땐 나를 한번 안아 주세요.,"If I go back to Korea, then give me a hug at that time.","If I go back to Korea, then give me a hug then."
15788,오늘은 우리 모두 한글을 만들어 주신 세종 대왕께 감사하는 날입니다.,It is a day of giving King SeJong who made hangul an appreciation.,Today is the day when we thank King Sejong for creating Hangeul.
15805,너는 매일 한 번의 기회를 주면 나쁜 행동을 반복해.,"If I give you one more chance, you repeat your bad behaviours.",You repeat bad behaviors every day when I give you a chance.
15806,이번 한국 여행에서 지출하신 경비를 골라주시기 바랍니다.,Please choose the expenses listed below that you spent in this travel in Korea.,Please select the expanses you spent on this trip to Korea.
15819,네가 얘기한 것 중에 이해 안 되는 게 많았어.,"Of the things that you said, there were many things I could not understand.","Of the things you've said, there were many things I couldn't understand."
15820,불필요한 부피 확장을 줄이기 위해 스티커 부착이 가능해요.,Attaching a sticker is possible to reduce unnecessary volume extension.,We can attach stickers to reduce unnecessary volume extension.
15833,만약 다시 한번 기회를 주시면 만나 뵙고 싶습니다.,"If you give me one more chance, I want to meet you.","If you give me another chance, I'd like to see you."
15834,친척들이 한자리에 모여 얼굴을 볼 수 있어 좋았습니다.,It was nice to see all relatives together.,It was nice to see the relatives altogether.
15835,배송했다고 한 지가 45일이 지났는데 아직도 배송 중인 건가요?,Is it still on delivery even though 45 days had passed after the expected delivery date?,"It has been 45 days since you said it's shipped, is it still being shipped?"
15846,그는 서울 한남동에 있는 프라하라는 술집에 온다고 합니다.,"He is coming to the liquor store, Praha, in Hannamdong, Seoul.","He is coming to the bar called Praha in Hannamdong, Seoul."
15851,"결국, 난 서른 한 살에 내 남자 친구와 결혼을 하게 될 거야.","In the end, I will get married to my current boyfriend at the age of 31.","In the end, I am going to marry my boyfriend at the age of 31."
15852,한국은 주입식 교육 때문에 잘못 된 것 아니?,Do you know that Korea went wrong because of its teaching for rote?,Do you know that Korea went wrong because of its cramming teaching method?
15866,"만약 네가 한국에 온다면, 반대로 하면 되겠지.","If you come to Korea, I will do the opposite.","If you come to Korea, we will do the opposite."
15868,당신이 만약 한국에 오면 나는 이 빌딩을 추천해요.,"If you come to Korea, I will recommend this building.","If you come to Korea, I recommend this building."
15869,"지난주가 한국 추석 연휴여서 답장이 늦었어요, 죄송합니다.","Last week was Korean Chuseok holiday period, so I wasn't able to check early.",I am sorry for the late reply as I was out of the office during the Korean Chuseok holiday last week.
15870,나의 마음을 한국말로 할 수 없는 게 너무 안타까워요.,It is a pity that I cannot express my mind in Korean.,It is a pity that I cannot express my feelings in Korean.
15871,"만약 네가 한국에 온다면, 내가 볶음밥을 대접할게.","If you come to Korea, I will cook fried rice for you.","If you come to Korea, I will cook fried rice for you."
15872,만일 당신이 한국에 다시 오면 그것은 업무 때문인가요?,"If you come to Korea again, will that be because of work?","If you come back to Korea, will that be because of work?"
15873,우리 지금 한국 연예인에 관해 이야기 하고 있어요.,We are now talking about Korean entertainers.,We are talking about Korean celebrities now.
15874,학생들은 한 개의 카드를 사용해도 충분합니다.,It is enough for students to utilize only one card.,It is enough for students to utilize only one card.
15875,만약 네가 한국에 온다면 한국을 더 좋아하게 될 거야.,"If you come to Korea, you will like Korea more","If you come to Korea, you will get to like Korea more."
15876,만약 네가 한국에 오게 된다면 낙지를 먹어 보길 바라.,"If you come to Korea, I recommend you try small octopuses.","If you come to Korea, I recommend you to try octopus."
15877,나와 함께 한국에 오면 당신은 한국 언어를 배울 수 있습니다.,"If you come to Korea with me, you can learn Korean.","If you come to Korea with me, you can learn the Korean language."
15885,만약 네가 한국에 있으면 데이트 신청을 했을 거야.,"If you are in Korea, I will ask you out.",I would ask you out if you were in Korea.
15886,만약 내가 틀린 말을 하면 주저 없이 고쳐 주세요.,"If my words are wrong, do not hesitate to correct them.",Please don't hesitate to correct me if I say something wrong.
15887,"만약 네가 한국을 여행하고 싶다면, 나는 제주도를 추천할게.","If you are going to travel in Korea, I suggest you go to Jeju island.","If you want to travel to Korea, I recommend Jeju island."
15888,아이들과 한 시간 동안 다양하게 게임을 즐길 수 있어 좋았어요.,It was grateful to enjoy various games with kids for an hour.,It was nice to enjoy various games with kids for an hour.
15894,제가 아는 한은 모든 게 잘 돌아가고 있습니다.,"As far as I know, everything is going well.","As far as I know, everything is going well."
15896,이런 경우 한국에서는 '누이 좋고 매부 좋고'라 표현합니다.,"In this case, in Korea, we say 'What´s good for the goose is good for the gander.","In this case, in Korea, we say 'What´s good for sister is good for sister's husband'."
15912,오늘 오후 한 시에 제가 당신에게 가면 도와줄 수 있습니까?,"If I go to you at one p.m. today, can you help me?",Could you help me if I visit you at one p.m.?
15913,그는 너의 한국 방문 비자 발급 절차를 제정하지 않았습니다.,He didn't enact the procedure that is necessary for issuing a visa for your visit to Korea.,He didn't enact the procedure for issuing your visitor's visa to Korea.
15917,그는 단지 한국으로 수출된 제품만 보기를 원합니다.,He just want to see the products that are imported to korea.,He only wants to see products exported to Korea. 
15920,"50g 한 박스당 가격은 한국 돈 5,800원입니다.","It's 5,800 won for a box of 50g.","The price per box of 50g is 5,800 Korean won."
15921,우리가 한복을 하나 정도는 가지고 있으면 좋겠어요.,It will be nice if we possess at least one Korean traditional clothes.,I wish we had our own Hanbok.
15925,너희들이 한국에 온 것이 너무 신기하고 기뻤어.,It was so cool and pleased that you came to Korea.,I was so surprised and happy that you guys came to Korea.
15940,화사한 레드 플라워 프린트가 돋보이는 파자마에요.,It's a pajamas standing out because of a beautiful red flower print.,It is a pajama with fancy red flower prints.
15943,"다만, 촉박한 시간으로 인해 어려움이 있습니다.","However, we have difficulty due to limited time.","However, we have some difficulties since we are short on time."
15944,"요즘, 특이한 헤어스타일을 한 아이돌을 쉽게 찾을 수 있죠?",Nowadays there are many idols who has uniqur hair style!,"Nowadays you can easily find an idol with a unique hairstyle, right?"
15945,네 번째로는 간편한 피임 기술의 개발을 들 수 있습니다.,"Fourth, the development of comfortable contraception technology.",Fourth is the the development of simple contraception techniques.
15951,"또한, 다양한 문화에 대해 많은 것을 배울 수 있을 것 같아.","Moreover, it seems that I will be able to learn a lot about diverse cultures.","Plus, I think I can learn a lot about various cultures."
15952,"먼저, 상세한 답변과 견적 안내에 감사를 드립니다.","Firstly, we appreciate your detailed answer and estimate introduction.","First, thank you for your detailed reply and estimate guide."
15953,"첫째, 남북한의 긴장 완화는 평화로운 삶을 살기 위해 필요해요.","First, an easing of strained relations between S. Korea and N. Korea is necessary for maintaining peaceful life in Korea.","First, easing tension between South and North Korea is necessary for a peaceful life in Korea."
15959,"다만, 요청한 내용 중에 반영이 어려운 부분이 하나 있습니다.","However, there is just one thing we cannot apply among the requested things.","However, there is one thing that is difficult to accept among the requests."
